"school","city","conc"
"Lunenburg/gilman Schools","Lunenburg","11.1269230769230769"
"Canaan Schools","Canaan","10.5689655172413793"
"Bridport Central School","Bridport","6.2000000000000000"
"Vernon Elementary School","Vernon","15.2631578947368421"
"Twin Valley Elementary School","Wilmington","212.0739130434782609"
"Wardsboro Elementary","Wardsboro","4.4666666666666667"
"Jamaica Village School","Jamaica","9.3000000000000000"
"Concord School","Concord","10.3090909090909091"
"Twinfield Us #33","Plainfield","54.1964285714285714"
"Bethel Elementary and White River Middle Schools","Bethel","14.9458333333333333"
"Ludlow Elementary School","Ludlow","6.9956521739130435"
"St Johnsbury School","St. Johnsbury","4.7250000000000000"
"Derby Elementary School","Derby Line","13.5000000000000000"
"Leland And Gray Uhs #34","Townshend","21.4545454545454545"
"Rick Marcotte Central School","S. Burlington","5.6000000000000000"
"Rochester School","Rochester","4.6200000000000000"
"Berkshire Elementary School","Richford","27.0900000000000000"
"Danville School","Danville","11.4409090909090909"
"Vergennes Union Elementary School #44","Vergennes","2.8583333333333333"
"Fisher School","Arlington","2.9000000000000000"
"J F Kennedy Elem School and Winooski Middle School and Winooski High School","Winooski","6.5000000000000000"
"CP Smith School","Burlington","5.3782608695652174"
"Bellows Falls Middle School","Bellows Falls","57.0000000000000000"
"Soar Learning Center","ST. Albans Bay","52.9125000000000000"
"Pownal Elementary","Pownal","9.3961538461538462"
"South Royalton Elementary and White River Valley High School","South Royalton","7.2000000000000000"
"Integrated Arts Acad At Ho Wheeler","Burlington","40.0000000000000000"
"J J Flynn School","Burlington","4.6555555555555556"
"Twin Valley Elementary","Wilmington","332.0344827586206897"
"Hartford Mem Middle School","White River Junction","4.9153846153846154"
"Poultney High School","Poultney","33.0741935483870968"
"North Country Uhs #22b","Newport","120.5690322580645161"
"Patricia A. Hannaford Career Center","Middlebury","23.9194444444444444"
"Clarendon Elementary School","North Clarendon","64.3846153846153846"
"West Rutland School","West Rutland","6.1434782608695652"
"Mill River Us #40","Clarendon","9.0500000000000000"
"Cabot School","Cabot","40.3910447761194030"
"Champlain Elementary School","Burlington","18.4106382978723404"
"Union Elementary School","Montpelier ","3.4590909090909091"
"Brownington Central School","Brownington ","9.7000000000000000"
"Enosburg Falls Elementary School","Enosberg Falls","7.8055555555555556"
"Twin Valley Middle High School","Whitingham","21.7482758620689655"
"Union Street School","Springfield","17.0000000000000000"
"Montessori of Central Vermont","Barre","2.9500000000000000"
"Rutland Town Elem School","Rutland","60.6370370370370370"
"Dummerston Schools","Dummerston","40.4906250000000000"
"Vergennes Union High School #5","Vergennes","4.3500000000000000"
"Cavendish Town Elementary","Proctorsville","0.00000000000000000000"
"Milton High School","Milton","17.0716216216216216"
"Proctor Jr/sr High School","Proctor","14.0000000000000000"
"Charleston Elem School","West Charleston","24.9833333333333333"
"Riverside Middle School","Springfield","7.3240000000000000"
"Alburgh Community Education Center","Alburgh","10.2857142857142857"
"Rumney Memorial School (middlesex)","Middlesex","9.1000000000000000"
"Dover Elementary School","Dover","31.0400000000000000"
"Main Street Middle School","Montpelier","6.9000000000000000"
"St Albans Town Educ Center","St. Albans","7.3260869565217391"
"North Hero School","North Hero","2.2400000000000000"
"Warren Elementary School","Warren, Vermont","18.9000000000000000"
"Marlboro Elementary School","Marlboro","67.5294117647058824"
"Bellows Falls Uhs #27","Westminster","108.9198630136986301"
"Williston Schools","Williston","43.6222222222222222"
"Pacem School","Montpelier","31.9250000000000000"
"Bellows Free Academy Middle/Hs (Fairfax)","Fairfax","5.5095238095238095"
"Oak Grove School","Brattleboro","16.7296296296296296"
"Academy School","Brattleboro, VT","7.1388888888888889"
"Wallingford Village School","Wallingford","30.6500000000000000"
"Mary Hogan Elementary School","Middlebury","3.8818181818181818"
"Poultney Elementary School","Poultney","52.7343750000000000"
"Middlebury Union High School","Middlebury","19.8272727272727273"
"Georgia Elem/middle School","Georgia","12.8166666666666667"
"Putney Central School","Putney","4.9545454545454545"
"Richford Elementary School","Richford","5.9333333333333333"
"Sheldon Elementary School","Sheldon","18.7837837837837838"
"Newport City Elem Schools","Newport","11.4875000000000000"
"Early Essential Education/Burlington Preschool Program","Burlington","2.7500000000000000"
"Green Mountain Uhs #35","Chester","93.9031578947368421"
"Hardwick Elementary School","Hardwick","26.1666666666666667"
"Charlotte Central School","Charlotte","37.9166666666666667"
"Proctor Elementary School","Proctor","13.9222222222222222"
"Monument Elementary","Bennington","18.9000000000000000"
"Hyde Park Elementary School","Hyde Park","35.3750000000000000"
"Camels Hump Middle School","Richmond","29.9041666666666667"
"Brighton Elementary School","Brighton","61.2857142857142857"
"Barton Graded School","Barton","3.5818181818181818"
"Fairfield Center School","Fairfield Center","7.5083333333333333"
"Shaftsbury Elementary","Shaftsbury","9.0055555555555556"
"U-32 Middle High School","Montpelier","79.2777777777777778"
"Blue Mountain Us #21","Wells River","7.2250000000000000"
"St Albans City School","St. Albans City","11.0709677419354839"
"The Arlington School","Saint Johnsbury","4.9800000000000000"
"Chester Andover Us #29","Chester","11.0812500000000000"
"Cold Hollow Career Center","Enosburg Falls","2.6250000000000000"
"Saint Paul's School","Barton","37.0625000000000000"
"Waterford Elementary School","Waterford","8.6866666666666667"
"Brighton Elementary School","Island Pond","29.1818181818181818"
